targets	response	precision	recall	f1
Not really, I just listen to the radio when I'm driving.	[' music no ']	[' music no ']	0.9999999965634914	0.9999999965634914	0.9999999965634914
Not really, I'm not that into sports. What about you?	[' sports unknown ']	[' sports yes ', ' interest in sports yes ']	0.5893911314490978	0.5543852134473879	0.5713524845488515
No, I haven't. What kind of food do they serve?	[' food yes ', ' restaurant yes ', ' 10th street restaurant yes ']	[' food yes ', ' restaurant yes ']	0.95968822866927	0.999999995302939	0.9794294953881046
I have heard of that one, but I haven't read it yet. So what do you like to do for fun?	[' hobby yes   yes ']	[' hobbies yes ']	0.8038571557412914	0.8038571557412914	0.8038571557412914
Not really. I'm not very good at it.	[' food no ', ' cooking no ']	[' cooking no ']	0.8508826557119378	0.9999999960595128	0.9194344671658997
No, I have been avoiding them.	[' news no ']	[' movie no ']	0.544774432974965	0.544774432974965	0.544774432974965
Definitely Chandler. Who do you like?	[' TV show yes ', ' character yes ']	[' TV yes ', ' TV character yes ']	0.8687499736534603	0.870272596858181	0.869510618679819
Not really, I don't like crowds and loud music.	[' music no ', ' concerts no ']	[' music no ']	0.8594137572728098	0.9999999965634914	0.9243921666668364
To be honest, I was not a big fan of it.	[' TV shows yes ', ' Game of Thrones final season no ']	[' TV show yes ', ' Breaking Bad no ']	0.6532311007428024	0.6532311007428024	0.6532311007428024
Where have you been?	[' travel yes ', ' place visited unknown ']	[' travel yes ', ' travel destination unknown ']	0.7860274756931727	0.7940989830804448	0.7900426141913789
It's okay, I guess. It pays the bills.	[' work yes ']	[' work no ', ' job satisfaction no ']	0.6771393382669634	0.5710794100411642	0.6196034698842761
Oh okay, sounds tiring! I'm not really interested in talking about work, to be honest. Do you have any other topic in mind?	[' interests no ']	[' work no ']	0.5549126322961906	0.5549126322961906	0.5549126322961906
Sounds cool, but I'm not really into nature or camping or anything like that.	[' travel no ', ' nature no ']	[' outdoor activities no ']	0.5023976447353584	0.5235797666172076	0.5127700447767093
Not really. I mostly just watch cat videos.	[' YouTube no ']	[' TV no ', ' cat videos no ']	0.7216117443640848	0.6647462732515425	0.692012758184323
Yeah, it was good to catch up. Bye!	[' farewell yes ']	[' goodbye yes ']	0.8481609994519425	0.8481609994519425	0.8481609994519425
No, I haven't. What's it called?	[' food yes ', ' restaurant yes ']	[' restaurant yes ', ' Italian restaurant unknown ']	0.8297103318838697	0.8135341612307825	0.8215426270916609
