	utterance	topics
4391	Not really, I prefer music. What kind of music do you like?	(music,yes)|(music genre,unknown)
5066	Yeah, I love Coldplay.	(music,yes)
6015	Not really. There's nothing good on TV these days.	(TV shows,no)
1865	We went to the Blue Ridge Mountains.	(personal life,yes)|(Blue Ridge Mountains,yes)
2522	Eh, not really. Haven't been in the mood for movies lately.	(movie,no)
2376	I enjoy hiking and spending time outdoors. It's a great way to clear my mind and get some exercise.	(hobbies,yes)|(outdoor activities,yes)
461	Yeah, it's been a tough year for everyone. Speaking of which, I actually have to go. I've got a meeting in ten minutes.	(work,yes)|(meeting,yes)
6531	Oh, I'm sorry to hear that. How about traveling? Do you like to travel?	(travel,yes)
6856	I liked Jon Snow. What about you?	(TV shows,yes)|(favorite character,unknown)
11136	No, COVID-19 has got us all locked down at home.	(travel,yes)|(COVID-19,no)
11039	Not really. I try to eat healthy, but I'm not on any specific diet.	(food,yes)|(dietary restrictions,unknown)
10448	Yeah, I like to play basketball. Sometimes I play with my friends.	(sports,yes)|(play sports,yes)|(basketball,yes)
1671	Not really, I find them a bit boring.	(reading,yes)|(book genre,unknown)|(science fiction books,no)
5553	No, I haven't.	(food,yes)|(restaurant,no)
3919	I'm an accountant. But let's talk about something else. What did you do over the weekend?	(personal life,yes)|(weekend activities,yes)
10571	Actually, I just watched a documentary on the history of rice. I found it pretty interesting.	(movie,no)
3456	That's cool. I just can't be bothered to do it most of the time. Anyways, it was nice talking to you, but I have to go now.	(Ending topic,yes)
2794	Not really, I haven't played video games in years.	(video games,no)
7004	Yeah, I have. It's not really my thing, though. I prefer cooked fish to raw fish.	(food,yes)|(sushi,no)
10437	Not really, I have a very low tolerance for spicy things.	(food,yes)|(spicy food,no)
5707	Honestly, I don't really go to many events. I mostly just like staying at home and watching Netflix.	(events,yes)|(entertainment choices,no)
12198	Nah, I'm not really into sports.	(sports,no)
8300	The food was amazing and the culture is so unique.	(travel,yes)|(food,yes)|(Japanese culture,yes)
756	I mostly watch Netflix or play video games.	(leisure,yes)|(Netflix,yes)
5732	Nothing much, just some grocery shopping and cleaning up the house. What about you?	(weekend,yes)|(plan,yes)
6718	Honestly, I don't have any plans. I might just stay home and relax.	(personal life,yes)|(plans,unknown)
10200	Honestly, I mostly just watch TV or play video games. Kind of boring, I know.	(free time,no)
10942	No, I'm not really a fan of playing sports.	(sports,no)
9573	Hmm, I don't know if I'd be interested in that. So, what else is new with you?	(TV series,no)
3316	It's going okay, I guess. Not that busy lately, which is good and bad at the same time.	(work,yes)
3676	"Actually, yes. I've been really into the show ""Breaking Bad""."	(TV show,yes)|(Breaking Bad,yes)
10629	I like to go to the gym and work out. It keeps me fit and healthy.	(hobby,yes)|(exercise,yes)|(gym,yes)
11393	Not really, I mostly just watch the news.	(TV shows,no)|(news,no)
6237	Not really, no.	(technology,no)|(AI,no)
2551	No, I haven't. Is it any good?	(food,yes)
5397	It can be at first, but once you get the hang of it it's a lot of fun.	(activity,yes)|(surfing,yes)
2604	Nope, I don't really use Hulu.	(TV Series,no)|(Hulu,no)
6051	Nope, I'm not really an animal person.	(pets,no)
4687	Not really. I just watch whatever looks interesting.	(movies,yes)|(movie genre,unknown)
2671	No, I am too scared to do that.	(adventure sport,no)
65	Just watched some TV and played video games.	(TV,yes)|(video games,yes)
8679	Not really, I'm on a diet lately.	(restaurant,yes)|(nutrition,no)|(mall burger place,unknown)
8235	Eh, not really a big fan of cats.	(pets,yes)|(cats,no)
11209	Mostly classical music.	(music,yes)|(music genre,unknown)|(classical music,yes)
2673	I am not much of a city person to be honest, so no particular favorites.	(city,no)
11325	Sorry, I have plans already. Maybe some other time.	(movie,yes)
511	I loved going to Japan.	(travel,yes)|(travel destination,yes)|(Japan,yes)
12267	It’s going okay.	(daily life,yes)
12401	A little bit, but most people speak English as well. Only a few times have I been completely lost in translation.	(travel,yes)|(language barrier,unknown)
10479	It's about a poor family who slowly infiltrates the lives of a rich family for their own financial gain, but things take a dark turn.	(movies,yes)|(movie synopsis,yes)
1108	Actually, I'm not a big fan of sushi.	(food,yes)|(Japanese food,unknown)|(sushi,no)
10208	Not really. I find them pretty boring to watch.	(sports,no)
12037	Yeah, I watch a lot of documentaries.	(TV shows,no)
1037	Mine too. Alright, it was nice chatting, but I gotta go. Talk to you later!	(goodbye,no)
12312	Not really, I try to avoid the negativity.	(news,no)
7101	Yes, I love to read. What about you?	(reading,yes)
6919	I like traditional paintings, like from the Renaissance period.	(art,yes)|(traditional art,yes)
7350	Not really. I'm trying to cut down on fast food.	(restaurant,yes)|(fast food,no)
3745	Yeah, you too. Have a good one.	(goodbye,yes)
300	Yeah, I love them!	(video games,yes)
2164	I just finished watching Ozark, it was really good!	(television,yes)|(Ozark,yes)
13131	Alright, that's fine. How was your day today?	(daily life,no)
12664	Not really, I've just been sticking close to home lately.	(travel,no)|(recent travel,no)
5867	Not really, I'm not much of a movie person.	(movie,no)|(movie genre,no)
3264	Nah, I don't really care about museums.	(museum,no)
5220	Not really, I'm not very good at it.	(cooking,no)
9030	No, I haven't. What's it called?	(restaurant,yes)
