0,I have 133 trains matching your request. Is there a specific day and time you would like to travel?
1,There are 12 trains for the day and time you request.  Would you like to book it now?
2,There are 12 trains meeting your needs with the first leaving at 05:16 and the last one leaving at 16:16. Do you want to book one of these?
3,Yes it is a cinema located in the south part of town what information would you like on it?
4,Thank you for using our system.
5,It is located at 191 Histon Road Chesterton
6,Yes I can! Table for 1?
7,Okay, your booking was successful! The reference number is MUFCMYFF. The table will be reserved for 15 minutes.
8,Sure.  There are several churches and an old schools attraction, all in the centre area.  Do you have a preference?
9,old schools is lovely, they are on trinity lane and free admission
10,The postcode is cb21tt. Are you looking for a taxi from Old Schools to the Golden Wok?
11,What time do you want to leave?
12,I have booked you a taxi for Friday to arrive at Old Schools at 10:45. Is there anything else I may help you with?
13,it is a Lexus white in colour and contact number is 07381884388
14,You're welcome! Have a great day!
15,Yes I have many options. What is your preferred price point?
16,I would recommend the Lovell Lodge.  It is indeed a hotel despite it's name and is very cute.
17,Booking was successful.Reference number is : 9HMD04UW. anything else?
18,In what area?
19,I'd recommend prezzo, its an italian restaurant on 21 - 24 Northampton Road. Would you like a table?
20,We have more than 20 moderately priced restaurants in the centre of town. Do you have a preference for cuisine?
21,We have three moderate Chinese restaurants in the centre.  May I suggest the Lan Hong House?
22,cb23pp postcode and the address is 11 Peas Hill City Centre
23,How many people for the taxi?
24,Your taxi has been booked. It will be a black Toyota and the contact number is 07757106249.
25,Enjoy your stay! Let us know if we can be of any further assistance.
26,There are several guesthouses available.  Do you have a price reference?
27,The home from home guesthouse hotel is located in the north, has a 4 star rating, and is moderately priced. Would you like me to book it for you?
28,How about the Avalon guesthouse?
29,What day would you like to stay? How many days?
30,The hotel is booked and your reference number is 0DJU3C37.  Can I help you with anything else?
31,What is your desired destination?
32,There are 19 trains to Leicester on that day. Do you know what time you'd like to leave or arrive by?
33,Train TR1745 will get you there by 19:06. Do you want tickets for that?
34,No problem!  The departure time for TR1745 is 17:21.  Will that work?
35,It is 37.80 pounds per person.
36,Great! Hope you enjoy your trip!
37,You must try dojo noodle bar in the centre of town!  Want a reservation?
38,Sure thing. The address is 40210 Millers Yard City Centre.
39,Sure, I can help you with that. Where are you departing from?
40,great, the TR1992 leaves at 21:35. would that work for you?
41,I will book the reservation now.
42,Booking was successful, the total fee is 22 GBP payable at the station. Reference number is : UAGCF8LW. Is there anything else I can help with?
43,Happy to assist. Let me know if there is anything else you need.
44,Okay, thank you and goodbye!
45,What can I help you with?
46,I sure can. Shiraz is an expensive mediterranean place in the centre of town. What day would you like your reservation?
47,Ok, i am getting the info up now, how many people will this be for and what time?
48,I have made your reservation. Your reference number is T9VU6COP.
49,Great! Where are you going, and when would you like to arrive?
50,Great, what day and time would you like to leave?
51,Okay, I see 7 trains here matching your needs. Would you like me to reserve tickets?
52,Okay, you are booked and reference number is QSA8VDXW
53,Is there anything else I can help you with?
54,Your welcome enjoy your trip
55,Ok sure. What would you like to know ?
56,Absolutely. Where are you heading in from? What day?
57,I have a train arriving at 10:08. Would that do?
58,Alright got you booked on train TR4987, the total fee is 70.8 GBP payable at the station. Your reference number is : 9UPRWUHB. Anything else I can help with today?
59,we have two options, can i reccomend for you?
