targets	response	score
Not really, I just listen to the radio when I'm driving.	[' music no ']	[' music no ']	0.9999999965634914
Not really, I'm not that into sports. What about you?	[' sports unknown ']	[' sports yes ', ' sports interest unknown ']	0.7252607301529903
No, I haven't. What kind of food do they serve?	[' food yes ', ' restaurant yes ', ' 10th street restaurant yes ']	[' restaurant yes ', ' food yes ']	0.7983532354446394
I have heard of that one, but I haven't read it yet. So what do you like to do for fun?	[' hobby yes   yes ']	[' hobby yes ']	0.9510965781457517
Not really. I'm not very good at it.	[' food no ', ' cooking no ']	[' cooking no ']	0.8508826557119378
No, I have been avoiding them.	[' news no ']	[' news no ']	0.9999999912586689
Definitely Chandler. Who do you like?	[' TV show yes ', ' character yes ']	[' TV shows yes ', ' character preference yes ']	0.6738420301620162
Not really, I don't like crowds and loud music.	[' music no ', ' concerts no ']	[' music no ', ' concerts no ']	0.8594137578500841
To be honest, I was not a big fan of it.	[' TV shows yes ', ' Game of Thrones final season no ']	[' TV series no ', ' Game of Thrones no ']	0.5771037272550184
Where have you been?	[' travel yes ', ' place visited unknown ']	[' travel yes ']	0.6250391725775736
It's okay, I guess. It pays the bills.	[' work yes ']	[' career yes ', ' job satisfaction no ']	0.5171036487490581
Oh okay, sounds tiring! I'm not really interested in talking about work, to be honest. Do you have any other topic in mind?	[' interests no ']	[' work no ']	0.5549126322961906
Sounds cool, but I'm not really into nature or camping or anything like that.	[' travel no ', ' nature no ']	[' travel unknown ', ' nature no ']	0.6189521720702474
Not really. I mostly just watch cat videos.	[' YouTube no ']	[' cat videos no ']	0.6078808021390001
Yeah, it was good to catch up. Bye!	[' farewell yes ']	[' goodbye yes ']	0.8481609994519425
No, I haven't. What's it called?	[' food yes ', ' restaurant yes ']	[' food yes ', ' restaurant yes ', ' taqueria yes ']	0.7660814665200937
Not really, I've mostly been watching stuff on Netflix lately.	[' movies no ']	[' TV shows no ']	0.6074145282130557
I'm not really into it.	[' music yes ', ' music genre unknown ', ' jazz no ']	[' sports no ']	0.3807914052439149
Not really, I'm not really into art.	[' art no ']	[' art no ']	0.9999999973943268
No, but I really want to. What did you like most about it?	[' travel yes ', ' Europe yes ', ' likes unknown ']	[' travel yes ', ' Japan trip yes ']	0.49451211998407496
No, I haven't had a chance to catch up on my TV shows lately.	[' TV shows no ']	[' TV shows no ']	0.9999999937532956
Not really, I don't have much of a travel budget right now.	[' travel yes   no ']	[' travel no ']	0.8983029660953148
Oh, really? I'm not a fan of Italian cuisine.	[' food no ', ' Italian cuisine no ']	[' food yes ', ' Italian food no ']	0.7080812291546721
No, I don't really watch TV or movies that much.	[' TV shows no ', ' movies no ']	[' entertainment no ', ' TV shows/movies no ']	0.6909675815528578
Books aren't really my thing, to be honest.	[' books no ']	[' book no ']	0.8583480947508343
No, I haven't. Is it any good?	[' food yes ', ' new Italian place yes ']	[' food yes ', ' restaurant unknown ', ' Italian unknown ']	0.48173939451315784
Yeah, I love exploring new places!	[' travel yes ']	[' travel yes ']	0.9999999753587387
Not really, I don't play too many video games.	[' video games no ']	[' hobbies yes ', ' video games no ']	0.6414343762199226
Mostly science fiction and fantasy.	[' book no ', ' science fiction no ']	[' books yes ', ' genre yes ', ' science fiction yes ']	0.5251242386133902
Actually, no. I haven't traveled anywhere in a while. Sorry.	[' travel no ']	[' travel no ']	0.9999999872250708
Nope, not really into that either.	[' dance no ', ' ballet no ']	[' movie no ', ' movie genre no ']	0.5151793860193634
Well, I've been to a few different trails, but my favorite is probably Mount Rainier.	[' outdoor activities yes ', ' hiking spots yes ', ' Mount Rainier yes ']	[' hiking yes ', ' Mount Rainier yes ']	0.5837744582210754
Yes, I have. I really enjoyed them!	[' food yes ', ' Korean tacos yes ']	[' books yes ', ' Harry Potter series yes ']	0.4445312808920677
Not really, I've been sticking to cooking at home.	[' food no ', ' restaurants no ']	[' restaurant no ']	0.7631849631602116
Not really. I used to be into basketball but not so much anymore.	[' sports no ']	[' sports no ', ' basketball no ']	0.8650707407441998
Sorry, but I'd rather not share it.	[' music yes ', ' band name no ']	[' food yes ', ' restaurant yes ', ' Italian cuisine yes ']	0.4028643466384021
No, I haven't.	[' food yes ', ' restaurant unknown ']	[' places no ', ' cafe no ']	0.35975666636433246
Not really, I find them quite boring.	[' sports no ']	[' board games no ']	0.5503938169133293
Mostly first-person shooters like Call of Duty.	[' video games yes ', ' game genre yes ', ' Call of Duty yes ']	[' hobbies yes ', ' video games yes ', ' Call of Duty yes ']	0.5570821756333638
Actually, I'm not really into reading.	[' books no ']	[' books no ']	0.9999999905938901
I don't really have one particular favorite, but I like action movies in general.	[' movies yes ', ' action movies yes ']	[' movies yes ', ' movie genre yes ', ' action yes ']	0.7871335377143671
It's pretty cloudy and looks like it's gonna rain.	[' weather no ']	[' weather no ']	0.9999999863457758
You too.	[' greeting yes ']	[' farewell yes ']	0.6361411518450175
Not really, not in the mood for that kind of food.	[' food no ', ' cuisine no ', ' Mexican no ']	[' restaurant no ', ' Italian food no ']	0.6230383912050662
Hmm, I've never heard of that.	[' books no ', ' The Picture of Dorian Gray no ']	[' TV yes ', ' TV show unknown ', ' The Office unknown ']	0.30445235126301673
Actually, yes! I just finished a really interesting biography about Abraham Lincoln.	[' books yes ', ' biography yes ', ' Abraham Lincoln yes ']	[' books yes ', ' biographies yes ', ' Lincoln yes ']	0.629578132259793
Not really, I find it quite boring.	[' books no ']	[' reading no ']	0.6718813449511324
That's cool. Honestly, I'm not really into rock music.	[' music no ', ' rock no ']	[' music yes ', ' music genre no ', ' rock music no ']	0.7294487667241676
Hmm, I haven't. What's it about?	[' movies yes ', ' Parasite yes ']	[' TV yes ', ' Mindhunter yes ']	0.5761761972566579
Actually, I'm not a big reader.	[' books no ']	[' books no ']	0.9999999905938901
I like trying new things, but not certain types of food like sushi or spicy food.	[' food yes ', ' sushi no ']	[' food yes ', ' food types yes ']	0.7081438711352573
Not really.	[' movie no ']	[' video games no ']	0.5678714311907267
No, not really.	[' recipe unknown ']	[' sports no ']	0.13312679256566207
It was amazing. The atmosphere was just electric.	[' music festival yes ', ' experience yes ']	[' sports yes ', ' game yes ']	0.48393788083694933
Nah, we just hung out at the park all day.	[' outing yes', 'shopping no ']	[' park yes ']	0.4113126625878296
Yeah, I'm really into cooking. I could talk about food all day!	[' food yes ', ' cooking yes ']	[' food yes ', ' cooking yes ']	0.8452003319459505
No, not really interested in sports.	[' sports no ']	[' sports no ']	0.9999999819397033
I'm not really into pets myself.	[' pets no ']	[' pets no ']	0.999999977518144
No, I haven't. Is it as good as Breaking Bad?	[' TV show yes ', ' Better Call Saul unknown ']	[' TV shows yes ', ' TV show quality unknown ']	0.6288152913852109
No, I'm allergic to cats and dogs.	[' pets no ']	[' pets no ', ' cats no ']	0.9364473704793489
Probably Skyrim.	[' video games yes ', ' favorite video game yes ', ' Skyrim yes ']	[' video games yes ', ' favorite game yes ', ' Skyrim yes ']	0.7415561274223345
Yeah, I love watching crime series. How about you?	[' movies and shows yes ', ' crime series yes ']	[' TV series yes ', ' crime series yes ']	0.6979603280151412
I'm not a great dancer, so I usually avoid it if I can.	[' dancing no ']	[' dancing no ']	0.9999999831407493
I'm not a big sports fan.	[' sports no ']	[' sports no ']	0.9999999819397033
I recommend the margherita pizza, it's also pretty good.	[' food yes ', ' pizza yes ', ' margherita pizza yes ']	[' food yes ', ' pizza yes ']	0.8152503194102129
I enjoy a lot of different kinds of music. Lately, I've been listening to a lot of indie rock.	[' music yes ', ' favorite genre yes ', ' indie rock yes ']	[' music yes ', ' music genre yes ', ' indie rock yes ']	0.7755098481723309
No, I haven't. I'm not really a fan of that kind of food.	[' food no ']	[' food no ', ' spicy food no ']	0.9006711790904289
Yeah, it's definitely worth it in the long run.	[' finance unknown ', ' saving money yes ']	[' learning yes ']	0.339074448657439
No, I haven't. I'm not really into that kind of thing. It seems too scary for me.	[' haunted houses no ']	[' adventure sports no ']	0.3773475648414011
Not really. Movies aren't really my thing.	[' movie no ']	[' movie no ']	0.9999999796277829
Not really. I don't watch that much TV.	[' TV shows no ']	[' TV show no ']	0.9479853235010943
Jazz is not my thing, sorry.	[' music yes ', ' jazz no ']	[' music no ', ' jazz music no ']	0.8098325518653341
Sadly, no. I need to catch up on housework which is incredibly boring.	[' weekend plans no ', ' housework no ']	[' day activities no ', ' housework no ']	0.595573159377607
No, I haven't. I'm not really interested in traveling to Europe.	[' travel yes ', ' Europe no ']	[' travel no ', ' europe no ']	0.6407973302419628
Honestly, I don't really care much about music.	[' music yes ']	[' music no ']	0.755824990135444
No, I haven't.	[' sleep yes ', ' remedy unknown ']	[' travel unknown ', ' International travel no ']	0.27739428364998975
I'm actually not that into music. I don't listen to it very often.	[' music no ']	[' music no ']	0.9999999965634914
No, I don't really follow sports.	[' sports no ']	[' sports no ']	0.9999999819397033
No, I've been pretty lazy the past few weeks.	[' gym no ']	[' exercise no ']	0.6228927552389921
Yeah, I love animals. They're the best.	[' animals yes ']	[' animals yes ']	0.9999999859668836
I work in an office doing customer service. It's not very exciting.	[' work yes ', ' type of work no ']	[' career no ', ' customer service no ']	0.40292355914598704
Yes, I did. The Eiffel Tower is amazing.	[' travel yes ', ' France trip yes ', ' visit to Paris yes ']	[' travel yes ', ' sightseeing yes ', ' Eiffel Tower yes ']	0.5222605271520385
Honestly, I just like to relax at home and watch TV or something. I'm pretty boring, I guess.	[' entertainment yes ', ' TV yes ']	[' entertainment no ', ' hobbies no ']	0.44833722717242785
Yeah, I love sports! What's your favorite sport?	[' sports yes ', ' favorite sport unknown ']	[' sports yes ']	0.7365371515394564
Oh, I see. Well, thanks for sharing your opinion. Anyway, I have to go now. See you later!	[' farewell yes ']	[' goodbye yes ']	0.8481609994519425
Eh, I'm not a fan.	[' food no ', ' tacos no ']	[' restaurant yes ', ' type of cuisine no ', ' Thai no ']	0.5099481648201484
Not really. Books are kind of boring to me.	[' books no ']	[' book no ']	0.8583480947508343
Sounds good, take care.	[' goodbye yes ']	[' ending conversation yes ']	0.5064615154977291
It’s been a tough day at work.	[' work unknown ']	[' work no ']	0.5341303768400627
I don't really have one. I listen to whatever's on the radio.	[' music no ']	[' music no ']	0.9999999965634914
