targets	response	precision	recall	f1
Not really, I just listen to the radio when I'm driving.	[' music no ']	[' music no ']	0.9999999965634914	0.9999999965634914	0.9999999965634914
Not really, I'm not that into sports. What about you?	[' sports unknown ']	[' sports no ']	0.6338127327195338	0.6338127327195338	0.6338127327195338
No, I haven't. What kind of food do they serve?	[' food yes ', ' restaurant yes ', ' 10th street restaurant yes ']	[' food yes ', ' restaurant yes ']	0.95968822866927	0.999999995302939	0.9794294953881046
I have heard of that one, but I haven't read it yet. So what do you like to do for fun?	[' hobby yes   yes ']	[' hobby yes ']	0.9510965781457517	0.9510965781457517	0.9510965781457517
Not really. I'm not very good at it.	[' food no ', ' cooking no ']	[' cooking no ']	0.8508826557119378	0.9999999960595128	0.9194344671658997
No, I have been avoiding them.	[' news no ']	[' news no ']	0.9999999912586689	0.9999999912586689	0.9999999912586689
Definitely Chandler. Who do you like?	[' TV show yes ', ' character yes ']	[' TV show yes ', ' favorite character yes ']	0.921137102646822	0.921137102646822	0.921137102646822
Not really, I don't like crowds and loud music.	[' music no ', ' concerts no ']	[' music no ']	0.8594137572728098	0.9999999965634914	0.9243921666668364
To be honest, I was not a big fan of it.	[' TV shows yes ', ' Game of Thrones final season no ']	[' TV show no ', ' Netflix series no ']	0.6188271279671589	0.7045760507660854	0.6589235705892249
Where have you been?	[' travel yes ', ' place visited unknown ']	[' travel no ']	0.5326280683185907	0.7651217034522461	0.6280491105497376
It's okay, I guess. It pays the bills.	[' work yes ']	[' work yes ']	0.9999999871599167	0.9999999871599167	0.9999999871599167
Oh okay, sounds tiring! I'm not really interested in talking about work, to be honest. Do you have any other topic in mind?	[' interests no ']	[' other no ']	0.6200856221281111	0.6200856221281111	0.6200856221281111
Sounds cool, but I'm not really into nature or camping or anything like that.	[' travel no ', ' nature no ']	[' outdoor activities no ', ' nature no ']	0.7787495534154345	0.761789872509839	0.770176359046606
Not really. I mostly just watch cat videos.	[' YouTube no ']	[' video no ']	0.703249658690532	0.703249658690532	0.703249658690532
Yeah, it was good to catch up. Bye!	[' farewell yes ']	[' goodbye yes ']	0.8481609994519425	0.8481609994519425	0.8481609994519425
No, I haven't. What's it called?	[' food yes ', ' restaurant yes ']	[' food yes ', ' restaurant unknown ']	0.8297103321332271	0.8265409701515724	0.8281226187356155
Not really, I've mostly been watching stuff on Netflix lately.	[' movies no ']	[' TV shows no ']	0.6074145282130557	0.6074145282130557	0.6074145282130557
I'm not really into it.	[' music yes ', ' music genre unknown ', ' jazz no ']	[' TV shows no ', ' Game of Thrones no ']	0.35935533444162254	0.37419900677917806	0.36662698772953967
Not really, I'm not really into art.	[' art no ']	[' art no ']	0.9999999973943268	0.9999999973943268	0.9999999973943268
No, but I really want to. What did you like most about it?	[' travel yes ', ' Europe yes ', ' likes unknown ']	[' travel yes ', ' destination unknown ']	0.6886305416738816	0.7923774797092928	0.7368701927121035
No, I haven't had a chance to catch up on my TV shows lately.	[' TV shows no ']	[' TV shows no ']	0.9999999937532956	0.9999999937532956	0.9999999937532956
Not really, I don't have much of a travel budget right now.	[' travel yes   no ']	[' travel no ']	0.8983029660953148	0.8983029660953148	0.8983029660953148
Oh, really? I'm not a fan of Italian cuisine.	[' food no ', ' Italian cuisine no ']	[' food yes ', ' Italian cuisine no ']	0.8842773033062165	0.8842773033062165	0.8842773033062165
No, I don't really watch TV or movies that much.	[' TV shows no ', ' movies no ']	[' TV shows no ']	0.8037072609831757	0.9999999937532956	0.8911726155695691
