	profile	topics
333	"{""action movies"":""negative"", ""historic sites"":""positive"", ""archaeological discoveries"":""positive""}"	historical landmarks,ancient civilizations,archaeological wonders,historical research,archaeological digs,historic preservation,historical mysteries
182	"{""pets"":""positive"", ""cats"":""positive"", ""declawing controversy"":""negative""}"	cat care,animal welfare,cat breeds,cat behavior
373	"{""fast food"":""negative"", ""traffic jams"":""negative"", ""basketball"":""negative"", ""outdoor adventures"":""positive""}"	camping locations,outdoor festivals,kayak fishing
114	"{""technology"":""positive"", ""blockchain technology"":""positive"", ""cybersecurity breaches"":""negative""}"	blockchain applications,online security
71	"{""cooking"":""positive"", ""vegan cooking"":""positive"", ""food allergies"":""negative""}"	plant-based recipes,food sensitivities
206	"{""fitness"":""positive"", ""crossfit"":""positive"", ""overtraining injuries"":""negative""}"	crossfit workouts,recovery methods,crossfit competitions,functional training,nutrition for athletes,crossfit communities,workout variations
255	"{""junk food"":""negative"", ""healthy eating"":""positive"", ""nutrition advice"":""positive""}"	balanced diet,nutrient-rich foods,meal planning,plant-based nutrition,dietary choices,healthy recipes,nutritional science
147	"{""cooking"":""positive"", ""baking"":""positive"", ""kitchen fires"":""negative""}"	baking recipes,fire safety
82	"{""pets"":""positive"", ""exotic pets"":""positive"", ""abandoned pets"":""negative""}"	exotic pet care,animal shelters
308	"{""romantic novels"":""negative"", ""biographies"":""positive"", ""inspiring biographies"":""positive""}"	life stories,biographical books,notable figures,inspiring journeys,historical figures,personal growth,biography genres
140	"{""technology"":""positive"", ""robotics"":""positive"", ""automation job loss"":""negative""}"	robotic advancements,workplace changes
325	"{""basketball"":""negative"", ""yoga"":""positive"", ""mindful movement"":""positive""}"	yoga practices,yoga styles,meditative yoga,mind-body connection,yoga retreats,yoga philosophy,yoga wellness
8	"{""pets"":""positive"", ""dogs"":""positive"", ""golden retrievers"":""positive""}"	pet training,pet care
108	"{""cooking"":""positive"", ""Mexican cuisine"":""positive"", ""food safety"":""negative""}"	Mexican recipes,culinary hygiene
24	"{""travel"":""positive"", ""beach vacations"":""positive"", ""flight delays"":""negative""}"	tropical destinations,travel tips,airline experiences
177	"{""technology"":""positive"", ""robotics"":""positive"", ""automation job loss"":""negative""}"	robotic advancements,workplace changes,robotics in healthcare,ethics of AI
342	"{""romantic comedies"":""negative"", ""travel experiences"":""positive"", ""cultural immersion"":""positive""}"	exploring new cultures,cultural destinations,local traditions,culinary adventures,cultural festivals,authentic experiences,cultural heritage
175	"{""travel"":""positive"", ""road trips"":""positive"", ""road accidents"":""negative""}"	road trip destinations,travel safety,road trip planning,scenic routes
25	"{""movies"":""positive"", ""comedy"":""positive"", ""horror films"":""negative""}"	film directors,scary movies,movie reviews
256	"{""horror movies"":""negative"", ""museum visits"":""positive"", ""art museums"":""positive""}"	art appreciation,museum exhibitions,art history,cultural exploration,artifacts,interactive exhibits,historical museums
270	"{""celebrity gossip"":""negative"", ""book genres"":""positive"", ""historical fiction novels"":""positive""}"	literary classics,fantasy books,mystery novels,book recommendations,book clubs,literary discussions,book adaptations
347	"{""action movies"":""negative"", ""historic sites"":""positive"", ""archaeological discoveries"":""positive""}"	historical landmarks,ancient civilizations,archaeological wonders,historical research,archaeological digs,historic preservation,historical mysteries
75	"{""travel"":""positive"", ""road trips"":""positive"", ""road accidents"":""negative""}"	road trip destinations,travel safety
269	"{""romantic comedies"":""negative"", ""travel experiences"":""positive"", ""cultural immersion"":""positive""}"	exploring new cultures,cultural destinations,local traditions,culinary adventures,cultural festivals,authentic experiences,cultural heritage
207	"{""history"":""positive"", ""World War I"":""positive"", ""trench warfare"":""negative""}"	war history,military strategies,WWI memorials,historical diaries,war poets,trench life,war technologies
115	"{""fitness"":""positive"", ""yoga"":""positive"", ""yoga injuries"":""negative""}"	yoga practices,recovery strategies
274	"{""action movies"":""negative"", ""historic sites"":""positive"", ""archaeological discoveries"":""positive""}"	historical landmarks,ancient civilizations,archaeological wonders,historical research,archaeological digs,historic preservation,historical mysteries
126	"{""movies"":""positive"", ""romantic comedies"":""positive"", ""romance genre stereotypes"":""negative""}"	romantic films,film stereotypes
158	"{""cooking"":""positive"", ""Mexican cuisine"":""positive"", ""food safety"":""negative""}"	Mexican recipes,culinary hygiene,spices,cultural cuisine
91	"{""fitness"":""positive"", ""crossfit"":""positive"", ""overtraining injuries"":""negative""}"	crossfit workouts,recovery methods
43	"{""gardening"":""positive"", ""indoor plants"":""positive"", ""plant diseases"":""negative""}"	houseplants,gardening challenges
139	"{""movies"":""positive"", ""sci-fi films"":""positive"", ""lack of diversity in Hollywood"":""negative""}"	science fiction,diversity in cinema
280	"{""basketball"":""negative"", ""yoga"":""positive"", ""mindful movement"":""positive""}"	yoga practices,yoga styles,meditative yoga,mind-body connection,yoga retreats,yoga philosophy,yoga wellness
97	"{""cooking"":""positive"", ""Asian cuisine"":""positive"", ""food cultural appropriation"":""negative""}"	Asian recipes,culinary diversity
311	"{""basketball"":""negative"", ""yoga"":""positive"", ""mindful movement"":""positive""}"	yoga practices,yoga styles,meditative yoga,mind-body connection,yoga retreats,yoga philosophy,yoga wellness
66	"{""history"":""positive"", ""American Revolution"":""positive"", ""slavery"":""negative""}"	revolutionary leaders,historical injustices
133	"{""science"":""positive"", ""quantum physics"":""positive"", ""ethical dilemmas in research"":""negative""}"	quantum mechanics,science ethics
48	"{""books"":""positive"", ""mystery novels"":""positive"", ""censorship in literature"":""negative""}"	book bans,freedom of speech
77	"{""technology"":""positive"", ""augmented reality"":""positive"", ""privacy invasion"":""negative""}"	AR apps,privacy concerns
29	"{""art"":""positive"", ""watercolor painting"":""positive"", ""art forgeries"":""negative""}"	painting techniques,art heists,art preservation
124	"{""sports"":""positive"", ""basketball"":""positive"", ""sports gambling"":""negative""}"	NBA,sports betting
273	"{""junk food"":""negative"", ""healthy eating"":""positive"", ""cooking classes"":""positive""}"	culinary education,nutrition workshops,healthy recipes,chef techniques,culinary creativity,foodie gatherings,cooking challenges
201	"{""books"":""positive"", ""science fiction novels"":""positive"", ""book piracy"":""negative""}"	sci-fi worlds,literary discussions,e-book sharing,book adaptations,book genres,literary awards,best sci-fi authors
210	"{""pets"":""positive"", ""cats"":""positive"", ""declawing controversy"":""negative""}"	cat care,animal welfare,cat breeds,cat behavior,cat adoption,indoor cats,alternative to declawing
378	"{""reality TV"":""negative"", ""celebrity gossip"":""negative"", ""fast fashion"":""negative"", ""book genres"":""positive""}"	book clubs,book reviews,book adaptations
172	"{""music"":""positive"", ""classical music"":""positive"", ""decline of classical education"":""negative""}"	classical composers,music literacy,classical concerts,musical instruments
291	"{""romantic novels"":""negative"", ""biographies"":""positive"", ""inspiring biographies"":""positive""}"	life stories,biographical books,notable figures,inspiring journeys,historical figures,personal growth,biography genres
296	"{""fast fashion"":""negative"", ""vintage fashion"":""positive"", ""thrift shopping"":""positive""}"	vintage finds,thrifting tips,second-hand fashion,retro style,sustainable fashion,vintage boutiques,unique fashion pieces
39	"{""technology"":""positive"", ""wearable tech"":""positive"", ""privacy concerns"":""negative""}"	gadgets,data privacy,tech ethics
240	"{""gardening"":""positive"", ""vertical gardening"":""positive"", ""soil contamination"":""negative""}"	vertical gardens,soil testing,urban gardening,sustainable gardening,vertical garden designs,hydroponic vertical gardens,vertical garden benefits
