targets	response	precision	recall	f1
road trip destinations,travel safety,road trip planning,scenic routes,travel companions,RV trips,travel mishaps	['road trip destinations', 'travel safety', 'road trip planning', 'scenic routes', 'travel companions', 'RV trips', 'travel mishaps']	['road trip destinations', 'travel safety', 'road trip planning']	0.7717940070192535	0.9999999898668518	0.8712006029538014
vertical gardens,soil testing,urban gardening,sustainable gardening	['vertical gardens', 'soil testing', 'urban gardening', 'sustainable gardening']	['vertical gardens', 'soil testing', 'urban gardening']	0.9407895410534652	0.9999999924654365	0.9694915576541202
tech innovations,app development	['tech innovations', 'app development']	['gadget reviews', 'tech advancements', 'digital photography']	0.6763893596972357	0.5632044387127136	0.6146295506934278
contemporary art,art criticism,art accessibility,art exhibitions	['contemporary art', 'art criticism', 'art accessibility', 'art exhibitions']	['contemporary art', 'art appreciation', 'art controversies']	0.7804178940965758	0.7812383396506463	0.7808279013553385
NBA,sports betting,basketball techniques,basketball culture	['NBA', 'sports betting', 'basketball techniques', 'basketball culture']	['NBA teams', 'sports betting', 'sportscare']	1.0	0.9558371408847132	0.9774199711253515
art history,heist stories,art recovery,famous artists	['art history', 'heist stories', 'art recovery', 'famous artists']	['art history', 'art appreciation', 'cultural heritage']	0.582165502638182	0.7042725482386727	0.6374239035609621
nutrition tips,healthy recipes,fitness challenges	['nutrition tips', 'healthy recipes', 'fitness challenges']	['meditation techniques', 'strength training', 'cardio workouts']	0.3864516579476991	0.4474795791016453	0.41473257640146904
folklore,cultural issues,folk festivals,folk instruments	['folklore', 'cultural issues', 'folk festivals', 'folk instruments']	['folk artists', 'music authenticity', 'folk festival']	0.5953934249944148	0.6791280804741956	0.6345101155350766
blockchain applications,online security,digital currencies,blockchain impact	['blockchain applications', 'online security', 'digital currencies', 'blockchain impact']	['blockchain applications', 'online privacy', 'cryptocurrency']	1.0	0.8966085484335095	0.9454861406947228
swimming techniques,pool hygiene	['swimming techniques', 'pool hygiene']	['swim workouts', 'water safety', 'swim routines']	0.5914015931065744	0.5867430258849442	0.5890630991457697
rock legends,copyright issues	['rock legends', 'copyright issues']	['rock legends', 'music authenticity', 'rock concerts']	0.6338396997116389	0.6847527565447201	0.6583133090526949
dinosaur discoveries,museum heists,prehistoric creatures,paleontology techniques	['dinosaur discoveries', 'museum heists', 'prehistoric creatures', 'paleontology techniques']	['dinosaur discoveries', 'museum heists', 'prehistoric creatures']	0.8894149292942365	0.9999999870385229	0.9414712566072105
healthy eating,meditation	['healthy eating', 'meditation']	['yoga practices', 'meditative practices', 'mind-body connection']	0.49995547452103367	0.44287308061230934	0.4696862859415717
French recipes,sustainability,wine pairing,culinary schools	['French recipes', 'sustainability', 'wine pairing', 'culinary schools']	['French recipes', 'sustainability', 'wine pairing']	0.8519176139388133	0.9999999861050389	0.9200383452063724
art appreciation,creative expression,art galleries,art history,local artists,art workshops,cultural events	['art appreciation', 'creative expression', 'art galleries', 'art history', 'local artists', 'art workshops', 'cultural events']	['art appreciation', 'creative expression', 'art galleries']	0.7453213919689182	0.999999984968395	0.8540792436444341
gene editing,ethics discussions	['gene editing', 'ethics discussions']	['gene editing', 'ethics discussions', 'genetic disorders']	0.9999999875428367	0.8331598502608055	0.908987664578369
art appreciation,creative expression,art galleries,art history,local artists,art workshops,cultural events	['art appreciation', 'creative expression', 'art galleries', 'art history', 'local artists', 'art workshops', 'cultural events']	['art appreciation', 'creative expression', 'art galleries']	0.7453213919689182	0.999999984968395	0.8540792436444341
volunteer programs,cross-cultural experiences	['volunteer programs', 'cross-cultural experiences']	['cultural immersion', 'international communication', 'volunteer opportunities']	0.5122345350952235	0.3941981478443606	0.4455309452029386
birdwatching,pet ownership	['birdwatching', 'pet ownership']	['bird watching', 'pet care', 'wildlife conservation']	0.5805443210578144	0.5429841077420425	0.5611363844366791
VR experiences,digital detox,tech impact	['VR experiences', 'digital detox', 'tech impact']	['VR gaming', 'digital detox', 'future tech']	0.7055794118912232	0.7055794118912232	0.7055794118912232
science fiction,diversity in cinema,sci-fi literature,extraterrestrial life	['science fiction', 'diversity in cinema', 'sci-fi literature', 'extraterrestrial life']	['science fiction', 'diversity in cinema', 'sci-fi literature']	0.8325736781249489	0.9999999814525111	0.9086386878165279
indoor plants,gardening tools	['indoor plants', 'gardening tools']	['plant care', 'greenhouses', 'plant pairings']	0.45429871889632684	0.5114275139106786	0.4811733522089931
yoga practices,yoga styles,meditative yoga,mind-body connection,yoga retreats,yoga philosophy,yoga wellness	['yoga practices', 'yoga styles', 'meditative yoga', 'mind-body connection', 'yoga retreats', 'yoga philosophy', 'yoga wellness']	['yoga practices', 'meditative yoga', 'mind-body connection']	0.8641041333833891	0.9999999924223616	0.9270985615806362
contemporary artists,art investments	['contemporary artists', 'art investments']	['contemporary art', 'art investment', 'art fraud']	0.8604643734955694	0.7534825627866382	0.8034277791332216
hiking trails,camping tips,national parks	['hiking trails', 'camping tips', 'national parks']	['camping tips', 'wilderness exploration', 'campfire cooking']	0.5649215711213622	0.6283475153015484	0.5949489006179615
music charts,artist compensation	['music charts', 'artist compensation']	['music industry', 'songwriting', 'music technology']	0.450167171330341	0.5488711785796855	0.4946432454934685
bike trails,recovery strategies	['bike trails', 'recovery strategies']	['bike trails', 'recovery strategies', 'biking events']	0.9999999937599247	0.8588149522448129	0.9240456654726663
war documentaries,history lessons	['war documentaries', 'history lessons']	['war history', 'leadership qualities', 'historical speeches']	0.6025563346931955	0.4480327879476058	0.5139306865266007
book clubs,book reviews,book adaptations	['book clubs', 'book reviews', 'book adaptations']	['book clubs', 'book recommendations', 'literary discussions']	0.7463125560259224	0.6906442705063043	0.7174001073784646
basketball players,sports news	['basketball players', 'sports news']	['sports discussions', 'sports news', 'sports careers']	0.7336466700923727	0.7265481177503945	0.7300801395640296
photography techniques,camera gear,nature exploration,photography contests,photo editing,wildlife photography,photography workshops	['photography techniques', 'camera gear', 'nature exploration', 'photography contests', 'photo editing', 'wildlife photography', 'photography workshops']	['landscape photography tips', 'image editing techniques', 'nature photography']	0.6356770033224475	0.7309289581852889	0.6799834668776142
cat care,animal welfare	['cat care', 'animal welfare']	['cat care', 'animal welfare', 'cat breeds']	0.9999999865317724	0.8841647980101349	0.9385217188601337
home cooking,healthy recipes,chef techniques,culinary classes,food culture,gourmet dining,food festivals	['home cooking', 'healthy recipes', 'chef techniques', 'culinary classes', 'food culture', 'gourmet dining', 'food festivals']	['food recipes', 'culinary creativity', 'flavor combinations']	0.6074822279214666	0.6303129590365493	0.6186870407604559
vintage finds,thrifting tips,second-hand fashion,retro style,sustainable fashion,vintage boutiques,unique fashion pieces	['vintage finds', 'thrifting tips', 'second-hand fashion', 'retro style', 'sustainable fashion', 'vintage boutiques', 'unique fashion pieces']	['vintage finds', 'thrifting tips', 'second-hand fashion']	0.7745451480341515	0.9999999955836102	0.872950623317922
music history,music genres,studio production	['music history', 'music genres', 'studio production']	['classical composers', 'music history', 'digital editing']	0.7004564311633213	0.6837336982370799	0.6919940490266372
brain studies,neuroethics	['brain studies', 'neuroethics']	['neural networks', 'bioethics', 'neuroplasticity']	0.5013698779624585	0.5052576171617921	0.5033062400600179
crossfit workouts,recovery methods,crossfit competitions,functional training	['crossfit workouts', 'recovery methods', 'crossfit competitions', 'functional training']	['crossfit workouts', 'recovery strategies', 'crossfit competitions']	0.812836414095226	0.9373562638204233	0.8706667715246975
road trip destinations,travel safety,road trip planning,scenic routes,travel companions,RV trips,travel mishaps	['road trip destinations', 'travel safety', 'road trip planning', 'scenic routes', 'travel companions', 'RV trips', 'travel mishaps']	['road trip destinations', 'travel safety', 'road trip planning']	0.7717940070192535	0.9999999898668518	0.8712006029538014
cat care,animal welfare	['cat care', 'animal welfare']	['cat care', 'animal welfare', 'alternative to declawing']	0.9999999865317724	0.767563298999291	0.8684987914658567
volunteer programs,cross-cultural experiences,volunteer impact,cultural awareness	['volunteer programs', 'cross-cultural experiences', 'volunteer impact', 'cultural awareness']	['responsible travel', 'cultural immersion', 'volunteer projects']	0.5654784798038577	0.5437015125429042	0.5543762182895583
